WorkerId,sample_15000ms,sample_15500ms,sample_16000ms,sample_16500ms,sample_17000ms,sample_17500ms,sample_18000ms,sample_18500ms,sample_19000ms,sample_19500ms,sample_20000ms,sample_20500ms,sample_21000ms,sample_21500ms,sample_22000ms,sample_22500ms,sample_23000ms,sample_23500ms,sample_24000ms,sample_24500ms,sample_25000ms,sample_25500ms,sample_26000ms,sample_26500ms,sample_27000ms,sample_27500ms,sample_28000ms,sample_28500ms,sample_29000ms,sample_29500ms,sample_30000ms,sample_30500ms,sample_31000ms,sample_31500ms,sample_32000ms,sample_32500ms,sample_33000ms,sample_33500ms,sample_34000ms,sample_34500ms,sample_35000ms,sample_35500ms,sample_36000ms,sample_36500ms,sample_37000ms,sample_37500ms,sample_38000ms,sample_38500ms,sample_39000ms,sample_39500ms,sample_40000ms,sample_40500ms,sample_41000ms,sample_41500ms,sample_42000ms,sample_42500ms,sample_43000ms,sample_43500ms,sample_44000ms,sample_44500ms
a30d244141cb2f51e0803e79bc4bd147,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65
eca1130f44cd2e17645e40a0fa2ef59b,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.41,0.41,0.41,0.42,0.42,0.42,0.42,0.40,0.37,0.36,0.36,0.38,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.45,0.45,0.45,0.46,0.45,0.45
de2b2c35312ac2f0a8510743742c0219,0.55,0.56,0.59,0.58,0.61,0.59,0.56,0.59,0.59,0.57,0.55,0.61,0.58,0.57,0.52,0.57,0.57,0.50,0.56,0.59,0.58,0.54,0.57,0.58,0.55,0.56,0.56,0.59,0.52,0.57,0.58,0.54,0.57,0.58,0.59,0.53,0.56,0.61,0.52,0.53,0.45,0.43,0.41,0.40,0.30,0.26,0.19,0.15,0.09,0.06,0.06,0.06,0.07,0.07,0.04,0.03,0.03,0.02,0.01,0.01
b36ffffcd1831441a2a3b60919312ccd,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10
accbf566ae920d6260d28454e1ee0d6a,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.05,0.12,0.06,-0.04,0.06,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.22,0.28,0.28,0.28,0.28,0.32,0.29,0.32
ed7ed76453bd846859f5e6b9149df276,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62
b09a5957e5d5e47e556d203529a0ae6d,0.66,0.66,0.66,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.66,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.60,0.60,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.62,0.62,0.60,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.60,0.62,0.62
607f6e34a0b5923333f6b16d3a59cc98,0.38,0.35,0.42,0.50,0.48,0.56,0.48,0.55,0.54,0.49,0.52,0.58,0.50,0.53,0.58,0.52,0.53,0.57,0.57,0.45,0.55,0.45,0.53,0.55,0.60,0.61,0.58,0.60,0.55,0.54,0.53,0.57,0.60,0.46,0.51,0.59,0.54,0.56,0.64,0.60,0.50,0.43,0.44,0.50,0.72,0.80,0.87,0.83,0.71,0.63,0.67,0.75,0.72,0.68,0.64,0.52,0.68,0.76,0.69,0.72
6db6afec230a8c59397b5f4d97f5da28,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.49,0.41,0.39,0.39,0.41,0.41,0.41,0.41,0.42,0.48,0.50,0.51,0.51,0.48,0.48,0.48,0.48,0.47,0.47,0.49,0.52,0.52,0.52,0.52,0.52,0.48,0.46,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.46,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47
be6ec863f38f611dff4958ccd33cf638,0.50,0.51,0.51,0.52,0.52,0.52,0.53,0.53,0.53,0.54,0.54,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.56,0.56,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57
