WorkerId,sample_15000ms,sample_15500ms,sample_16000ms,sample_16500ms,sample_17000ms,sample_17500ms,sample_18000ms,sample_18500ms,sample_19000ms,sample_19500ms,sample_20000ms,sample_20500ms,sample_21000ms,sample_21500ms,sample_22000ms,sample_22500ms,sample_23000ms,sample_23500ms,sample_24000ms,sample_24500ms,sample_25000ms,sample_25500ms,sample_26000ms,sample_26500ms,sample_27000ms,sample_27500ms,sample_28000ms,sample_28500ms,sample_29000ms,sample_29500ms,sample_30000ms,sample_30500ms,sample_31000ms,sample_31500ms,sample_32000ms,sample_32500ms,sample_33000ms,sample_33500ms,sample_34000ms,sample_34500ms,sample_35000ms,sample_35500ms,sample_36000ms,sample_36500ms,sample_37000ms,sample_37500ms,sample_38000ms,sample_38500ms,sample_39000ms,sample_39500ms,sample_40000ms,sample_40500ms,sample_41000ms,sample_41500ms,sample_42000ms,sample_42500ms,sample_43000ms,sample_43500ms,sample_44000ms,sample_44500ms
accbf566ae920d6260d28454e1ee0d6a,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.77,0.75,0.80,0.77,0.77,0.75,0.73,0.77,0.77
de2b2c35312ac2f0a8510743742c0219,0.87,0.88,0.87,0.84,0.86,0.85,0.91,0.93,0.90,0.92,0.86,0.70,0.86,0.91,0.91,0.89,0.89,0.88,0.89,0.90,0.89,0.89,0.90,0.90,0.86,0.89,0.91,0.88,0.90,0.89,0.87,0.90,0.91,0.89,0.91,0.89,0.91,0.88,0.89,0.81,0.75,0.88,0.89,0.91,0.89,0.90,0.91,0.90,0.87,0.84,0.80,0.84,0.82,0.80,0.79,0.86,0.90,0.91,0.93,0.89
5bdea9864567a8614b659bf4b2132ab0,0.94,0.94,0.94,0.92,0.80,0.74,0.83,0.85,0.87,0.88,0.81,0.55,0.75,0.85,0.88,0.90,0.88,0.90,0.93,0.95,0.96,0.96,0.96,0.97,0.97,0.97,0.97,0.97,0.98,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.98,0.97,0.96,0.96,0.96,0.94,0.94,0.95,0.97,0.93,0.93,0.91,0.93,0.76,0.66,0.67,0.71,0.67,0.65,0.84,0.94,0.94,0.94,0.95
607f6e34a0b5923333f6b16d3a59cc98,0.44,0.33,0.28,0.24,0.19,0.26,0.29,0.35,0.40,0.43,0.31,0.10,0.08,0.24,0.33,0.39,0.41,0.43,0.48,0.53,0.53,0.52,0.52,0.63,0.43,0.35,0.62,0.62,0.62,0.59,0.63,0.65,0.60,0.57,0.60,0.55,0.61,0.47,0.35,0.40,0.54,0.59,0.62,0.58,0.63,0.62,0.62,0.62,0.62,0.53,0.37,0.23,0.11,0.15,0.25,0.29,0.49,0.53,0.56,0.47
eca1130f44cd2e17645e40a0fa2ef59b,0.32,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.37,0.38
a30d244141cb2f51e0803e79bc4bd147,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
7cecbffe1da5ae974952db6c13695afe,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
ed7ed76453bd846859f5e6b9149df276,0.52,0.52,0.52,0.52,0.56,0.55,0.56,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58
d4d0cd1ae06f54909291d34ddd6ab497,0.14,0.27,0.24,0.17,0.23,0.27,0.23,0.16,0.22,0.26,0.22,0.22,0.27,0.19,0.16,0.21,0.21,0.17,0.21,0.23,0.16,0.18,0.28,0.26,0.24,0.25,0.29,0.25,0.22,0.25,0.25,0.20,0.23,0.27,0.23,0.22,0.29,0.31,0.28,0.32,0.35,0.30,0.29,0.33,0.33,0.26,0.33,0.37,0.38,0.27,0.18,0.10,0.00,-0.03,-0.03,0.32,0.46,0.47,0.40,0.44
78b5e9744073532cc376976b5fc6b2fc,0.40,0.40,0.41,0.45,0.45,0.45,0.46,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.50,0.56,0.58,0.60,0.60,0.62,0.67,0.68,0.67,0.67,0.67,0.67,0.67,0.67,0.69,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73
