sample_15000ms,sample_15500ms,sample_16000ms,sample_16500ms,sample_17000ms,sample_17500ms,sample_18000ms,sample_18500ms,sample_19000ms,sample_19500ms,sample_20000ms,sample_20500ms,sample_21000ms,sample_21500ms,sample_22000ms,sample_22500ms,sample_23000ms,sample_23500ms,sample_24000ms,sample_24500ms,sample_25000ms,sample_25500ms,sample_26000ms,sample_26500ms,sample_27000ms,sample_27500ms,sample_28000ms,sample_28500ms,sample_29000ms,sample_29500ms,sample_30000ms,sample_30500ms,sample_31000ms,sample_31500ms,sample_32000ms,sample_32500ms,sample_33000ms,sample_33500ms,sample_34000ms,sample_34500ms,sample_35000ms,sample_35500ms,sample_36000ms,sample_36500ms,sample_37000ms,sample_37500ms,sample_38000ms,sample_38500ms,sample_39000ms,sample_39500ms,sample_40000ms,sample_40500ms,sample_41000ms,sample_41500ms,sample_42000ms,sample_42500ms,sample_43000ms,sample_43500ms,sample_44000ms,sample_44500ms
0.070437,0.16442,0.26586,0.33569,0.32752,0.30729,0.30435,0.30435,0.2938,0.038167,-0.33695,-0.35652,-0.35652,-0.38295,-0.40332,-0.40435,-0.40435,-0.40435,-0.40435,-0.40435,-0.40435,-0.40435,-0.40435,-0.40435,-0.40435,-0.40435,-0.40435,-0.40435,-0.40435,-0.40435,-0.40435,-0.40435,-0.40435,-0.40435,-0.40435,-0.40435,-0.40435,-0.40435,-0.40435,-0.40435,-0.40435,-0.40435,-0.40435,-0.40435,-0.40435,-0.40435,-0.40435,-0.40435,-0.40435,-0.40435,-0.40435,-0.40435,-0.40435,-0.40435,-0.40435,-0.40435,-0.40435,-0.40435,-0.40435,-0.40435
-0.1913,-0.1913,-0.1913,-0.1913,-0.1913,-0.1913,-0.1913,-0.1913,-0.1913,-0.1913,-0.1913,-0.1913,-0.1913,-0.1913,-0.1913,-0.1913,-0.1913,-0.1913,-0.1913,-0.1913,-0.1913,-0.1913,-0.1913,-0.1913,-0.1913,-0.1913,-0.1913,-0.1913,-0.17914,-0.16699,-0.16087,-0.14874,-0.14004,-0.13139,-0.12709,-0.12274,-0.11403,-0.10114,-0.095652,-0.091304,-0.079459,-0.075148,-0.066472,-0.06087,-0.06087,-0.06087,-0.053466,-0.043478,-0.03913,-0.03913,-0.03913,-0.03913,-0.03913,-0.03913,-0.03913,-0.03913,-0.03913,-0.03913,-0.03913,-0.03913
-0.18261,-0.18261,-0.18261,-0.18261,-0.18261,-0.18261,-0.18261,-0.18261,-0.18261,-0.18261,-0.18261,-0.18261,-0.18261,-0.18261,-0.18261,-0.18261,-0.18261,-0.18261,-0.18261,-0.18261,-0.18261,-0.18261,-0.18261,-0.18261,-0.18261,-0.18261,-0.18261,-0.18261,-0.18261,-0.18261,-0.18261,-0.18261,-0.18261,-0.18261,-0.18261,-0.18261,-0.18261,-0.18261,-0.18261,-0.18261,-0.18261,-0.18261,-0.18261,-0.18261,-0.18261,-0.18261,-0.18261,-0.18261,-0.18261,-0.18261,-0.18261,-0.18261,-0.18261,-0.18261,-0.18261,-0.18261,-0.18261,-0.18261,-0.18261,-0.18261
0.4913,0.4913,0.4913,0.4913,0.4913,0.4913,0.4913,0.4913,0.4913,0.4913,0.4913,0.4913,0.4913,0.4913,0.4913,0.4913,0.4913,0.4913,0.4913,0.4913,0.4913,0.4913,0.4913,0.4913,0.4913,0.4913,0.4913,0.4913,0.4913,0.4913,0.4913,0.4913,0.4913,0.4913,0.4913,0.4913,0.4913,0.4913,0.4913,0.4913,0.4913,0.4913,0.4913,0.4913,0.4913,0.4913,0.4913,0.4913,0.4913,0.4913,0.4913,0.4913,0.4913,0.4913,0.4913,0.4913,0.4913,0.4913,0.4913,0.4913
-0.56522,-0.56522,-0.56522,-0.56522,-0.56522,-0.56522,-0.56522,-0.56522,-0.56522,-0.56522,-0.56522,-0.56522,-0.56522,-0.56522,-0.56522,-0.56522,-0.56522,-0.56522,-0.56522,-0.56522,-0.56522,-0.56522,-0.56522,-0.56522,-0.56522,-0.56522,-0.56522,-0.56522,-0.56522,-0.56522,-0.56522,-0.56522,-0.56522,-0.56522,-0.56522,-0.73171,-0.79565,-0.79565,-0.79565,-0.79565,-0.79565,-0.79565,-0.79565,-0.79565,-0.83786,-0.98733,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-0.46041,-0.44565,-0.44565,-0.44565,-0.44565,-0.44363,-0.44022,-0.41491,-0.39938,-0.38556,-0.37609,-0.37609,-0.37609,-0.37609,-0.37609,-0.37609,-0.37609,-0.37609,-0.37609,-0.37609,-0.37609,-0.37609,-0.37609,-0.37609,-0.37609,-0.37609,-0.37609,-0.37609,-0.37609,-0.37609,-0.37609,-0.37609,-0.37609,-0.37609,-0.37609,-0.37609,-0.37609,-0.37609,-0.37779,-0.39145,-0.41894,-0.44999,-0.46772,-0.47748,-0.48044,-0.48044,-0.48044,-0.48044,-0.48044,-0.48044,-0.48044,-0.48044,-0.48044,-0.48044,-0.48044,-0.48044,-0.48044,-0.48044,-0.48044,-0.48044
-0.19536,-0.21062,-0.23299,-0.28214,-0.36872,-0.39529,-0.39529,-0.39529,-0.39529,-0.39529,-0.39774,-0.40022,-0.40398,-0.40398,-0.40723,-0.43441,-0.43441,-0.43441,-0.43441,-0.43441,-0.43441,-0.43441,-0.43441,-0.43441,-0.43441,-0.43441,-0.43441,-0.43441,-0.43441,-0.43364,-0.42696,-0.42572,-0.42572,-0.42572,-0.42572,-0.42572,-0.42572,-0.42572,-0.42572,-0.42572,-0.42572,-0.42572,-0.42572,-0.42572,-0.4291,-0.43441,-0.44745,-0.45614,-0.45614,-0.45614,-0.46689,-0.47352,-0.47352,-0.47352,-0.47352,-0.47352,-0.47352,-0.47551,-0.48219,-0.48222
-0.22553,-0.22174,-0.22174,-0.22174,-0.22174,-0.22174,-0.22174,-0.22174,-0.22174,-0.22174,-0.22174,-0.22174,-0.22174,-0.22174,-0.22174,-0.22174,-0.22174,-0.22174,-0.22174,-0.22174,-0.22174,-0.22174,-0.22174,-0.22174,-0.22174,-0.22174,-0.22174,-0.22174,-0.22174,-0.22174,-0.22174,-0.22174,-0.22174,-0.22174,-0.22174,-0.22174,-0.22174,-0.22174,-0.22174,-0.22174,-0.22174,-0.22174,-0.22174,-0.22174,-0.22174,-0.22174,-0.22174,-0.22174,-0.22174,-0.22174,-0.22174,-0.22174,-0.22174,-0.22174,-0.22174,-0.22174,-0.22174,-0.22174,-0.22174,-0.22174
-0.71217,-0.71217,-0.71217,-0.656,-0.47765,-0.48162,-0.48162,-0.47727,-0.47727,-0.47727,-0.47727,-0.47727,-0.47727,-0.47727,-0.47727,-0.47727,-0.47727,-0.47727,-0.47727,-0.47727,-0.47727,-0.47727,-0.47727,-0.47727,-0.47727,-0.47727,-0.47727,-0.47727,-0.47727,-0.47727,-0.47727,-0.47727,-0.47727,-0.47727,-0.47727,-0.47727,-0.47727,-0.47727,-0.47727,-0.47727,-0.47727,-0.47727,-0.47727,-0.47727,-0.47727,-0.47727,-0.47727,-0.47727,-0.47727,-0.47727,-0.47727,-0.47727,-0.47727,-0.47727,-0.47727,-0.47727,-0.47727,-0.47727,-0.47727,-0.47727
0.10435,0.10435,0.10435,0.10435,0.10435,0.089335,0.11677,0.11739,0.11739,0.027175,0.004348,0.004348,0.020982,0.03682,0.060076,0.07501,0.082609,0.1087,0.1087,0.08387,0.06087,0.06087,0.06087,0.06087,0.06087,0.054338,0.044575,0.026228,0.013043,0.013043,-0.034112,-0.10374,-0.1087,-0.13478,-0.13478,-0.13478,-0.13478,-0.13478,-0.13478,-0.13478,-0.13478,-0.13478,-0.13478,-0.13478,-0.13478,-0.13478,-0.13478,-0.13478,-0.13478,-0.13478,-0.13478,-0.13478,-0.13478,-0.13478,-0.13478,-0.13478,-0.13478,-0.13478,-0.13478,-0.13478
