sample_15000ms,sample_15500ms,sample_16000ms,sample_16500ms,sample_17000ms,sample_17500ms,sample_18000ms,sample_18500ms,sample_19000ms,sample_19500ms,sample_20000ms,sample_20500ms,sample_21000ms,sample_21500ms,sample_22000ms,sample_22500ms,sample_23000ms,sample_23500ms,sample_24000ms,sample_24500ms,sample_25000ms,sample_25500ms,sample_26000ms,sample_26500ms,sample_27000ms,sample_27500ms,sample_28000ms,sample_28500ms,sample_29000ms,sample_29500ms,sample_30000ms,sample_30500ms,sample_31000ms,sample_31500ms,sample_32000ms,sample_32500ms,sample_33000ms,sample_33500ms,sample_34000ms,sample_34500ms,sample_35000ms,sample_35500ms,sample_36000ms,sample_36500ms,sample_37000ms,sample_37500ms,sample_38000ms,sample_38500ms,sample_39000ms,sample_39500ms,sample_40000ms,sample_40500ms,sample_41000ms,sample_41500ms,sample_42000ms,sample_42500ms,sample_43000ms,sample_43500ms,sample_44000ms,sample_44500ms
-0.72391,-0.72391,-0.72391,-0.72391,-0.72391,-0.72391,-0.72391,-0.72391,-0.72391,-0.72391,-0.72391,-0.72391,-0.72391,-0.72391,-0.72391,-0.72391,-0.72391,-0.72391,-0.72391,-0.72391,-0.72391,-0.72391,-0.72391,-0.70411,-0.6862,-0.68478,-0.68478,-0.68478,-0.67174,-0.67174,-0.67174,-0.67174,-0.67174,-0.67174,-0.67174,-0.67174,-0.67174,-0.67174,-0.67174,-0.67174,-0.67174,-0.67174,-0.67174,-0.67174,-0.67174,-0.67174,-0.67174,-0.67174,-0.67174,-0.67174,-0.67174,-0.67174,-0.67174,-0.67174,-0.67174,-0.67174,-0.67174,-0.67174,-0.67174,-0.67174
-0.59348,-0.59348,-0.59348,-0.59348,-0.59348,-0.59348,-0.59348,-0.59348,-0.59348,-0.59348,-0.59348,-0.59348,-0.59348,-0.59348,-0.59348,-0.59348,-0.57174,-0.57174,-0.57174,-0.57174,-0.57174,-0.57174,-0.57174,-0.57174,-0.57174,-0.57174,-0.57174,-0.57174,-0.57174,-0.57174,-0.57174,-0.57174,-0.57174,-0.57174,-0.57174,-0.57174,-0.57174,-0.57174,-0.57174,-0.57174,-0.57174,-0.57174,-0.57174,-0.57174,-0.57174,-0.57174,-0.57174,-0.57174,-0.57174,-0.57174,-0.57174,-0.57174,-0.57174,-0.57174,-0.57174,-0.57174,-0.57174,-0.57174,-0.57174,-0.57174
-0.57935,-0.56739,-0.57726,-0.58913,-0.58873,-0.58044,-0.57937,-0.56304,-0.56304,-0.54502,-0.53696,-0.53566,-0.50652,-0.50551,-0.49348,-0.47101,-0.46267,-0.45435,-0.44565,-0.43195,-0.41055,-0.40107,-0.37576,-0.35859,-0.34982,-0.3413,-0.34114,-0.31516,-0.31087,-0.30651,-0.29783,-0.29783,-0.29783,-0.28919,-0.28478,-0.28478,-0.2977,-0.29783,-0.28059,-0.26739,-0.2588,-0.25459,-0.24155,-0.2413,-0.22068,-0.26115,-0.27174,-0.23338,-0.22391,-0.22788,-0.27174,-0.27569,-0.2926,-0.29348,-0.29348,-0.31401,-0.34331,-0.38619,-0.42915,-0.43261
-0.43696,-0.43696,-0.43696,-0.43696,-0.43696,-0.43696,-0.43696,-0.43696,-0.43696,-0.43696,-0.43696,-0.43696,-0.43696,-0.43696,-0.43696,-0.43696,-0.43696,-0.43696,-0.43696,-0.43696,-0.43696,-0.43696,-0.43696,-0.43696,-0.43696,-0.43696,-0.43696,-0.43696,-0.43696,-0.43696,-0.43696,-0.43696,-0.43696,-0.43696,-0.43696,-0.43696,-0.43696,-0.43696,-0.43696,-0.43696,-0.43696,-0.43696,-0.43696,-0.43696,-0.43696,-0.43696,-0.43696,-0.43696,-0.43696,-0.43696,-0.43696,-0.43696,-0.43696,-0.43696,-0.43696,-0.43696,-0.43696,-0.43696,-0.43696,-0.43696
0.15217,0.15217,0.15217,0.15217,0.15217,0.15217,0.15217,0.15217,0.15217,0.15217,0.15217,0.15217,0.15217,0.15217,0.15217,0.15217,0.15217,0.15217,0.15217,0.15217,0.15217,0.15217,0.15217,0.15217,0.15217,0.21433,0.21739,0.21739,0.21739,0.19826,0.2,0.21252,0.27391,0.27391,0.27391,0.27391,0.27391,0.27391,0.27391,0.27391,0.27391,0.27391,0.27391,0.27391,0.27391,0.27391,0.27391,0.27391,0.27391,0.27391,0.27391,0.27391,0.27391,0.27391,0.27391,0.27391,0.27391,0.27391,0.27391,0.27391
-0.10217,-0.10217,-0.10217,-0.10217,-0.10217,-0.10217,-0.10217,-0.10217,-0.10217,-0.10217,-0.10605,-0.11816,-0.11957,-0.11957,-0.14172,-0.15791,-0.16304,-0.16304,-0.16304,-0.16304,-0.16304,-0.16304,-0.16304,-0.16304,-0.16304,-0.16304,-0.16304,-0.16304,-0.16304,-0.16304,-0.16304,-0.16304,-0.16304,-0.16397,-0.18687,-0.21101,-0.23766,-0.27174,-0.27174,-0.27174,-0.27174,-0.27174,-0.27174,-0.27174,-0.27174,-0.27174,-0.27174,-0.27174,-0.27174,-0.27174,-0.27174,-0.27174,-0.27174,-0.27174,-0.27174,-0.27174,-0.27174,-0.27174,-0.27174,-0.28385
0.22826,0.22826,0.22826,0.22826,0.22826,0.22826,0.22826,0.22826,0.22826,0.22826,0.22826,0.22826,0.22826,0.22826,0.22826,0.22826,0.22826,0.22826,0.22826,0.22826,0.22826,0.22826,0.22826,0.22826,0.22826,0.22826,0.22826,0.24104,0.25435,0.25435,0.25435,0.25435,0.25435,0.25435,0.25435,0.25435,0.25435,0.25435,0.25435,0.25435,0.25435,0.25435,0.25435,0.25435,0.25435,0.25435,0.25435,0.25435,0.25435,0.25435,0.25435,0.25435,0.25435,0.25435,0.25435,0.25435,0.25435,0.25435,0.25435,0.25435
-0.67609,-0.67609,-0.67609,-0.67609,-0.67609,-0.67609,-0.67609,-0.67609,-0.64748,-0.63261,-0.60834,-0.54281,-0.52739,-0.45435,-0.44992,-0.45422,-0.45,-0.44959,-0.4631,-0.43261,-0.41087,-0.41333,-0.386,-0.4234,-0.39963,-0.38544,-0.41749,-0.37476,-0.32431,-0.29382,-0.28083,-0.30134,-0.29741,-0.30556,-0.27416,-0.26908,-0.25942,-0.27344,-0.26257,-0.24086,-0.23696,-0.26149,-0.21937,-0.17508,-0.17149,-0.18831,-0.18739,-0.17931,-0.12049,-0.15276,-0.15,-0.20622,-0.19796,-0.20652,-0.20652,-0.20652,-0.15057,-0.20652,-0.20248,-0.20217
0.46234,0.46234,0.46234,0.46234,0.46234,0.46234,0.46234,0.46234,0.46234,0.46234,0.46234,0.46234,0.46234,0.46234,0.46234,0.46234,0.46234,0.46234,0.46234,0.46234,0.46234,0.46234,0.46234,0.46234,0.46234,0.46234,0.46234,0.46234,0.46234,0.46234,0.62945,0.86097,0.84079,0.83644,0.83644,0.83644,0.83644,0.83644,0.83644,0.83644,0.83644,0.83644,0.83644,0.83644,0.83644,0.83644,0.83644,0.83644,0.83644,0.83644,0.83644,0.83644,0.83644,0.83644,0.83644,0.83644,0.83644,0.83644,0.83644,0.83644
-0.81087,-0.81087,-0.81087,-0.81087,-0.81087,-0.81087,-0.81087,-0.81087,-0.81087,-0.81087,-0.81087,-0.81087,-0.81087,-0.81087,-0.81087,-0.81087,-0.81087,-0.81087,-0.81087,-0.81087,-0.81087,-0.81087,-0.81087,-0.81087,-0.81087,-0.81087,-0.81087,-0.81087,-0.81087,-0.81087,-0.81087,-0.81087,-0.81087,-0.81087,-0.81087,-0.81087,-0.81087,-0.81087,-0.81087,-0.81087,-0.81087,-0.81087,-0.81087,-0.81087,-0.81087,-0.81087,-0.81087,-0.81087,-0.81087,-0.81087,-0.81087,-0.81087,-0.81087,-0.81087,-0.81087,-0.81087,-0.81087,-0.81087,-0.81087,-0.81087
