WorkerId,sample_15000ms,sample_15500ms,sample_16000ms,sample_16500ms,sample_17000ms,sample_17500ms,sample_18000ms,sample_18500ms,sample_19000ms,sample_19500ms,sample_20000ms,sample_20500ms,sample_21000ms,sample_21500ms,sample_22000ms,sample_22500ms,sample_23000ms,sample_23500ms,sample_24000ms,sample_24500ms,sample_25000ms,sample_25500ms,sample_26000ms,sample_26500ms,sample_27000ms,sample_27500ms,sample_28000ms,sample_28500ms,sample_29000ms,sample_29500ms,sample_30000ms,sample_30500ms,sample_31000ms,sample_31500ms,sample_32000ms,sample_32500ms,sample_33000ms,sample_33500ms,sample_34000ms,sample_34500ms,sample_35000ms,sample_35500ms,sample_36000ms,sample_36500ms,sample_37000ms,sample_37500ms,sample_38000ms,sample_38500ms,sample_39000ms,sample_39500ms,sample_40000ms,sample_40500ms,sample_41000ms,sample_41500ms,sample_42000ms,sample_42500ms,sample_43000ms,sample_43500ms,sample_44000ms,sample_44500ms
ed7ed76453bd846859f5e6b9149df276,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.50,0.49,0.49,0.49,0.49
b36ffffcd1831441a2a3b60919312ccd,-0.67,-0.70,-0.70,-0.70,-0.70,-0.70,-0.70,-0.70,-0.70,-0.70,-0.70,-0.70,-0.73,-0.75,-0.75,-0.75,-0.75,-0.75,-0.75,-0.75,-0.75,-0.75,-0.75,-0.75,-0.75,-0.75,-0.75,-0.75,-0.75,-0.75,-0.75,-0.75,-0.75,-0.75,-0.75,-0.82,-0.82,-0.81,-0.73,-0.70,-0.70,-0.70,-0.70,-0.70,-0.70,-0.70,-0.70,-0.70,-0.70,-0.70,-0.70,-0.70,-0.70,-0.70,-0.70,-0.70,-0.70,-0.70,-0.70,-0.70
607f6e34a0b5923333f6b16d3a59cc98,-0.08,-0.06,0.02,0.07,0.15,0.20,0.25,0.28,0.29,0.30,0.30,0.30,0.29,0.28,0.30,0.29,0.30,0.32,0.30,0.33,0.31,0.33,0.29,0.33,0.32,0.32,0.29,0.33,0.31,0.30,0.29,0.33,0.32,0.35,0.37,0.40,0.41,0.43,0.36,0.37,0.28,0.35,0.39,0.44,0.42,0.45,0.39,0.31,0.22,0.31,0.35,0.38,0.40,0.43,0.47,0.47,0.47,0.45,0.46,0.40
b6927bdee51077f7868f05f1ed39485f,-0.50,-0.52,-0.54,-0.56,-0.57,-0.58,-0.59,-0.60,-0.60,-0.60,-0.61,-0.61,-0.61,-0.61,-0.61,-0.62,-0.63,-0.65,-0.66,-0.67,-0.67,-0.67,-0.68,-0.69,-0.70,-0.70,-0.70,-0.71,-0.71,-0.71,-0.71,-0.70,-0.68,-0.67,-0.65,-0.61,-0.59,-0.58,-0.57,-0.56,-0.56,-0.56,-0.55,-0.54,-0.52,-0.52,-0.52,-0.52,-0.52,-0.52,-0.49,-0.46,-0.45,-0.43,-0.42,-0.37,-0.35,-0.33,-0.31,-0.31
46a2289decf79f747406fa91cd92fc27,0.49,0.49,0.50,0.52,0.53,0.55,0.57,0.57,0.57,0.57,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.60,0.63,0.63,0.63,0.64,0.66,0.66,0.66,0.66,0.66,0.69,0.69,0.69,0.71,0.72,0.72,0.72,0.72,0.72,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74
de2b2c35312ac2f0a8510743742c0219,0.32,0.29,0.24,0.37,0.42,0.43,0.48,0.45,0.45,0.50,0.45,0.47,0.46,0.48,0.48,0.46,0.48,0.46,0.47,0.46,0.47,0.47,0.48,0.47,0.48,0.47,0.45,0.48,0.46,0.47,0.46,0.45,0.49,0.48,0.52,0.45,0.48,0.47,0.50,0.47,0.51,0.47,0.49,0.46,0.48,0.45,0.49,0.46,0.54,0.54,0.54,0.56,0.54,0.54,0.51,0.52,0.53,0.50,0.54,0.50
987a16808cac2496853b6f531c0878cb,-0.29,-0.30,-0.31,-0.33,-0.34,-0.34,-0.35,-0.36,-0.37,-0.39,-0.40,-0.40,-0.43,-0.45,-0.48,-0.49,-0.49,-0.50,-0.51,-0.51,-0.52,-0.52,-0.52,-0.52,-0.53,-0.54,-0.53,-0.51,-0.48,-0.47,-0.47,-0.46,-0.45,-0.43,-0.40,-0.39,-0.38,-0.37,-0.35,-0.34,-0.32,-0.31,-0.30,-0.29,-0.28,-0.26,-0.24,-0.27,-0.30,-0.33,-0.34,-0.34,-0.35,-0.32,-0.32,-0.34,-0.36,-0.37,-0.37,-0.37
a30d244141cb2f51e0803e79bc4bd147,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15
eca1130f44cd2e17645e40a0fa2ef59b,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.06,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.06,-0.06,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.11,-0.13,-0.15,-0.16,-0.16,-0.16,-0.15,-0.12,-0.11,-0.11,-0.13,-0.14,-0.14,-0.12,-0.09,-0.10,-0.14,-0.12
d4d0cd1ae06f54909291d34ddd6ab497,-0.55,-0.56,-0.56,-0.56,-0.50,-0.46,-0.45,-0.49,-0.50,-0.50,-0.50,-0.50,-0.50,-0.50,-0.50,-0.50,-0.46,-0.45,-0.45,-0.45,-0.45,-0.45,-0.45,-0.45,-0.45,-0.45,-0.45,-0.45,-0.45,-0.45,-0.45,-0.45,-0.45,-0.45,-0.45,-0.45,-0.50,-0.53,-0.53,-0.50,-0.49,-0.49,-0.49,-0.49,-0.49,-0.49,-0.49,-0.49,-0.49,-0.48,-0.43,-0.43,-0.43,-0.43,-0.43,-0.43,-0.43,-0.43,-0.43,-0.43
