WorkerId,sample_15000ms,sample_15500ms,sample_16000ms,sample_16500ms,sample_17000ms,sample_17500ms,sample_18000ms,sample_18500ms,sample_19000ms,sample_19500ms,sample_20000ms,sample_20500ms,sample_21000ms,sample_21500ms,sample_22000ms,sample_22500ms,sample_23000ms,sample_23500ms,sample_24000ms,sample_24500ms,sample_25000ms,sample_25500ms,sample_26000ms,sample_26500ms,sample_27000ms,sample_27500ms,sample_28000ms,sample_28500ms,sample_29000ms,sample_29500ms,sample_30000ms,sample_30500ms,sample_31000ms,sample_31500ms,sample_32000ms,sample_32500ms,sample_33000ms,sample_33500ms,sample_34000ms,sample_34500ms,sample_35000ms,sample_35500ms,sample_36000ms,sample_36500ms,sample_37000ms,sample_37500ms,sample_38000ms,sample_38500ms,sample_39000ms,sample_39500ms,sample_40000ms,sample_40500ms,sample_41000ms,sample_41500ms,sample_42000ms,sample_42500ms,sample_43000ms,sample_43500ms,sample_44000ms,sample_44500ms
5bdea9864567a8614b659bf4b2132ab0,0.81,0.81,0.80,0.77,0.76,0.76,0.76,0.77,0.76,0.74,0.74,0.78,0.81,0.82,0.82,0.81,0.80,0.78,0.77,0.77,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.76,0.77,0.80,0.81,0.81,0.82,0.85,0.85,0.85,0.85,0.82,0.79,0.77,0.76,0.75,0.74,0.74,0.75,0.75,0.77,0.78,0.78,0.72,0.68,0.63,0.61,0.61
7cecbffe1da5ae974952db6c13695afe,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.91,1.00,1.00,1.00,0.96,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.91,0.90,0.90,0.90,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77
ed7ed76453bd846859f5e6b9149df276,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45
b92704ea431d60d62bd8fd18e2940067,0.72,0.72,0.63,0.59,0.53,0.55,0.55,0.53,0.58,0.55,0.55,0.53,0.56,0.58,0.49,0.40,0.27,0.27,0.35,0.34,0.39,0.36,0.36,0.36,0.36,0.36,0.33,0.26,0.19,0.15,0.09,0.03,-0.02,0.05,0.18,0.33,0.39,0.34,0.48,0.45,0.37,0.43,0.55,0.62,0.62,0.55,0.52,0.56,0.59,0.55,0.42,0.37,0.28,0.31,0.38,0.25,0.14,0.03,-0.04,-0.08
b09a5957e5d5e47e556d203529a0ae6d,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.56,0.61,0.62,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.67,0.67,0.67,0.67,0.63,0.60,0.63,0.64,0.64,0.64,0.64,0.64,0.64,0.60,0.60,0.61,0.60,0.56,0.56
46a2289decf79f747406fa91cd92fc27,0.91,0.91,0.91,0.90,0.91,0.91,0.90,0.90,0.90,0.90,0.92,0.92,0.92,0.92,0.92,0.97,0.99,0.97,0.96,0.90,0.90,0.89,0.93,0.97,0.97,0.97,1.00,1.00,0.98,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.93,0.91,0.91,0.80,0.90,0.81,0.85,0.84,0.82,0.83,0.86,0.88,0.88,0.88,0.89,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90
a30d244141cb2f51e0803e79bc4bd147,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0.08,0.12,0.12,0.12,0.12,0.12,0.12,0.12
accbf566ae920d6260d28454e1ee0d6a,0.58,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.59,0.59,0.60,0.62,0.62,0.62,0.62,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.62,0.62,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.64,0.67,0.68,0.68,0.66,0.66,0.66,0.64,0.62,0.62,0.62,0.61,0.61
eca1130f44cd2e17645e40a0fa2ef59b,0.11,0.11,0.11,0.11,0.11,0.11,0.10,0.10,0.10,0.10,0.10,0.10,0.11,0.11,0.12,0.12,0.11,0.07,0.06,0.06,0.05,0.05,0.04,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,-0.01,0.01,0.02,0.02,0.04,0.06,0.05,0.04,0.04,0.05,0.06,0.07,0.07,0.09,0.09,0.10,0.10,0.11,0.11,0.08,0.11,0.12,0.13,0.09,0.08,0.07,0.05,0.04
607f6e34a0b5923333f6b16d3a59cc98,0.53,0.52,0.48,0.55,0.58,0.55,0.51,0.52,0.60,0.67,0.71,0.71,0.76,0.78,0.77,0.63,0.55,0.51,0.42,0.38,0.44,0.45,0.42,0.36,0.31,0.34,0.37,0.40,0.43,0.42,0.42,0.46,0.46,0.52,0.53,0.55,0.62,0.63,0.60,0.57,0.62,0.62,0.56,0.55,0.53,0.50,0.47,0.45,0.43,0.35,0.35,0.53,0.61,0.65,0.55,0.42,0.37,0.30,0.17,0.09
