workerID, SongId, Valence, Arousal
6010bbc8e7ef4b21fa38f9c3a9754ef3,2,5,2
3c888e77b992ae3cd2adfe16774e23b9,2,2,3
2afd218c3aecb6828d2be327f8b9c46f,2,3,3
fd5b08ce362d855ca9152a894348130c,2,4,4
9c8073214a052e414811b76012df8847,2,2,2
6b492acb1838463dc7c07a76b26313c4,2,3,4
8dcd4de7be6479561269b90c1dc8a3b4,2,3,3
cbc86e332e889251fe0fa71df472f202,2,4,3
259443e9cad56b4f68b664daa20cb323,2,2,3
5bf3c29fd496e2cafa9c531c7e9c6d61,2,3,3
6010bbc8e7ef4b21fa38f9c3a9754ef3,3,5,3
bf34e3c5724ce07d29ef12db5f767258,3,2,2
514278711fcdb6dfb235c03a3aa38ee3,3,4,5
2afd218c3aecb6828d2be327f8b9c46f,3,2,3
4eb43aa7f89260bb40b3970a45a82678,3,1,1
259443e9cad56b4f68b664daa20cb323,3,2,7
ed7ed76453bd846859f5e6b9149df276,3,7,2
571d66ea4abfb694d9bb1281d7701710,3,4,3
d84d58533b58797bccca5811b4135c95,3,3,3
490951556961e4b88fe1a3ac53b3b186,3,5,4
6010bbc8e7ef4b21fa38f9c3a9754ef3,4,6,3
514278711fcdb6dfb235c03a3aa38ee3,4,6,7
2c5952c4f931410e9010eb87c276020d,4,5,6
2afd218c3aecb6828d2be327f8b9c46f,4,5,5
0c37993dcf5f99f7b00d02495ed01bc3,4,4,6
4eb43aa7f89260bb40b3970a45a82678,4,3,2
64cae7b86c7dcb1b40d17e43c0c2109e,4,7,6
6b492acb1838463dc7c07a76b26313c4,4,6,6
8dcd4de7be6479561269b90c1dc8a3b4,4,8,7
259443e9cad56b4f68b664daa20cb323,4,7,7
24ebcf86498b0f2793b55c5b9a7756b5,5,3,6
94d7a0f7c8f2e1c714b0649f835c538c,5,5,4
a00de41fdf121f6dfe5db851a575d2d1,5,6,3
2afd218c3aecb6828d2be327f8b9c46f,5,3,4
7cecbffe1da5ae974952db6c13695afe,5,8,8
4eb43aa7f89260bb40b3970a45a82678,5,1,2
64cae7b86c7dcb1b40d17e43c0c2109e,5,3,6
8dcd4de7be6479561269b90c1dc8a3b4,5,6,7
eca1130f44cd2e17645e40a0fa2ef59b,5,3,6
490951556961e4b88fe1a3ac53b3b186,5,6,7
6010bbc8e7ef4b21fa38f9c3a9754ef3,7,7,6
bf34e3c5724ce07d29ef12db5f767258,7,6,6
2afd218c3aecb6828d2be327f8b9c46f,7,6,5
fd5b08ce362d855ca9152a894348130c,7,5,5
7cecbffe1da5ae974952db6c13695afe,7,7,7
0c37993dcf5f99f7b00d02495ed01bc3,7,5,7
4eb43aa7f89260bb40b3970a45a82678,7,2,3
64cae7b86c7dcb1b40d17e43c0c2109e,7,6,9
d8e56509dc582df255732a0170323231,7,7,8
259443e9cad56b4f68b664daa20cb323,7,7,8
6010bbc8e7ef4b21fa38f9c3a9754ef3,8,4,5
de0b07c32bb6ca4655487026e0f3fc38,8,4,6
94d7a0f7c8f2e1c714b0649f835c538c,8,4,5
2afd218c3aecb6828d2be327f8b9c46f,8,2,4
fd5b08ce362d855ca9152a894348130c,8,4,4
4eb43aa7f89260bb40b3970a45a82678,8,1,1
64cae7b86c7dcb1b40d17e43c0c2109e,8,2,5
3226bc99212ad30ce2ced981de1c437a,8,3,5
8dcd4de7be6479561269b90c1dc8a3b4,8,6,7
cbc86e332e889251fe0fa71df472f202,8,2,6
6010bbc8e7ef4b21fa38f9c3a9754ef3,10,7,7
bf34e3c5724ce07d29ef12db5f767258,10,4,5
514278711fcdb6dfb235c03a3aa38ee3,10,4,7
94d7a0f7c8f2e1c714b0649f835c538c,10,5,6
2afd218c3aecb6828d2be327f8b9c46f,10,4,4
0c37993dcf5f99f7b00d02495ed01bc3,10,2,3
4eb43aa7f89260bb40b3970a45a82678,10,1,1
8dcd4de7be6479561269b90c1dc8a3b4,10,6,5
eca1130f44cd2e17645e40a0fa2ef59b,10,3,6
259443e9cad56b4f68b664daa20cb323,10,4,3
514278711fcdb6dfb235c03a3aa38ee3,12,5,6
2afd218c3aecb6828d2be327f8b9c46f,12,4,5
7cecbffe1da5ae974952db6c13695afe,12,8,8
4eb43aa7f89260bb40b3970a45a82678,12,2,2
64cae7b86c7dcb1b40d17e43c0c2109e,12,6,3
8dcd4de7be6479561269b90c1dc8a3b4,12,8,8
5097e48e561bf0261b242f211b289825,12,3,6
259443e9cad56b4f68b664daa20cb323,12,6,7
9d1aa48692579ca9330d3c61d10e22e6,12,7,6
ce209fb2fe01d6c85dbb29b6fd84b563,12,6,7
24ebcf86498b0f2793b55c5b9a7756b5,13,2,3
94d7a0f7c8f2e1c714b0649f835c538c,13,4,5
a00de41fdf121f6dfe5db851a575d2d1,13,5,4
2afd218c3aecb6828d2be327f8b9c46f,13,3,4
4eb43aa7f89260bb40b3970a45a82678,13,1,1
64cae7b86c7dcb1b40d17e43c0c2109e,13,3,2
8dcd4de7be6479561269b90c1dc8a3b4,13,3,7
eca1130f44cd2e17645e40a0fa2ef59b,13,3,4
5097e48e561bf0261b242f211b289825,13,2,4
490951556961e4b88fe1a3ac53b3b186,13,6,6
8eb1abd1acca601d1e23e85c69b1742a,17,7,8
7a81cab11e4b2b4aa9c0718c90835611,17,3,7
2afd218c3aecb6828d2be327f8b9c46f,17,5,5
6ca7c27715f54e2f47ebe4e1c9dcf842,17,5,6
f0e2dfdbc324f309660b731ad16ce2fd,17,2,5
0c37993dcf5f99f7b00d02495ed01bc3,17,3,6
4eb43aa7f89260bb40b3970a45a82678,17,2,1
64cae7b86c7dcb1b40d17e43c0c2109e,17,6,7
8dcd4de7be6479561269b90c1dc8a3b4,17,7,9
cbc86e332e889251fe0fa71df472f202,17,4,6
6010bbc8e7ef4b21fa38f9c3a9754ef3,18,5,3
bf34e3c5724ce07d29ef12db5f767258,18,6,2
